run,run_number,batch_size,search_seconds
m4-cuda,1,150,4.398
m4-cuda,2,150,4.396
m4-cuda,3,150,4.373
m4-cuda,4,150,4.382
m4-cuda,5,150,4.4
m4-cuda,1,200,4.401
m4-cuda,2,200,4.403
m4-cuda,3,200,4.368
m4-cuda,4,200,4.39
m4-cuda,5,200,4.382
m4-cuda,1,250,4.38
m4-cuda,2,250,7.34
m4-cuda,3,250,4.386
m4-cuda,4,250,4.382
m4-cuda,5,250,7.32
m4-cuda,1,500,4.384
m4-cuda,2,500,4.414
m4-cuda,3,500,4.389
m4-cuda,4,500,4.395
m4-cuda,5,500,4.408
m4-cuda,1,1000,4.433
m4-cuda,2,1000,4.432
m4-cuda,3,1000,4.419
m4-cuda,4,1000,4.447
m4-cuda,5,1000,4.503
